cr_year,esac_publisher,collection,articles,oa_articles,oa_prop,all_journals,oa_journals,journal_prop
2021,Royal Society of Chemistry,Global,34349,3615,0.10524323852222772,42,42,1
2021,SPIE,Global,1393,3,0.0021536252692031586,9,3,0.3333333333333333
2021,Sage,Global,66189,9873,0.14916375832842316,989,858,0.8675429726996967
2021,Society for Neuroscience,Global,822,0,0,1,0,0
2021,Springer Nature,Global,338624,46731,0.13800262237762237,2450,2097,0.8559183673469388
2021,Taylor and Francis,Global,137192,15725,0.11462038602833985,2299,1939,0.843410178338408
2021,The Electrochemical Society,Global,6618,630,0.09519492293744333,4,2,0.5
2021,The Geological Society of London,Global,567,62,0.10934744268077601,8,8,1
2021,The Royal Society,Global,2202,60,0.027247956403269755,8,6,0.75
2021,Thieme,Global,12124,275,0.022682283074892774,82,45,0.5487804878048781
2021,Trans Tech Publications,Global,3762,8,0.002126528442317916,12,4,0.3333333333333333
2021,Walter de Gruyter,Global,19938,1292,0.0648008827364831,354,225,0.635593220338983
2021,White Horse Press,Global,129,1,0.007751937984496124,3,1,0.3333333333333333
2021,Wiley,Global,216878,38994,0.17979693652652642,1389,1317,0.9481641468682506
2021,Wolters Kluwer Health,Global,61356,2531,0.041251059391094594,284,221,0.778169014084507
2021,World Scientific,Global,9244,0,0,109,0,0
2022,AIP Publishing,Global,15816,2,1.2645422357106728e-4,26,2,0.07692307692307693
2022,Akadémiai Kiadó,Global,995,516,0.5185929648241207,24,22,0.9166666666666666
2022,American Chemical Society,Global,62475,7798,0.12481792717086834,68,66,0.9705882352941176
2022,American Meteorological Society,Global,1799,55,0.030572540300166758,11,9,0.8181818181818182
2022,American Physical Society,Global,18550,3527,0.19013477088948788,10,9,0.9
2022,American Physiological Society,Global,1762,0,0,12,0,0
2022,American Psychological Association,Global,8140,115,0.014127764127764128,100,26,0.26
2022,Association for Computing Machinery,Global,5826,101,0.017336079642979747,90,6,0.06666666666666667
2022,BMJ Publishing,Global,8897,1389,0.15612004046307745,40,38,0.95
2022,Bentham Science Publishers,Global,7621,128,0.01679569610287364,121,49,0.4049586776859504
2022,Bioscientifica,Global,494,115,0.23279352226720648,5,5,1
2022,Brill,Global,7453,930,0.12478196699315712,304,209,0.6875
2022,Bristol University Press,Global,542,104,0.1918819188191882,17,15,0.8823529411764706
2022,CSIRO,Global,1552,0,0,18,0,0
2022,Cambridge University Press,Global,26666,8066,0.3024825620640516,361,346,0.9584487534626038
2022,Canadian Science Publishing,Global,1837,137,0.07457811649428416,19,17,0.8947368421052632
2022,Cold Spring Harbor Laboratory Press,Global,260,0,0,2,0,0
2022,Company of Biologists,Global,1413,346,0.2448690728945506,3,3,1
2022,EDP Sciences,Global,4402,2045,0.46456156292594275,21,18,0.8571428571428571
2022,Edward Elgar Publishing,Global,186,2,0.010752688172043012,12,1,0.08333333333333333
2022,Elsevier,Global,587539,60987,0.10380076897023006,1952,1812,0.9282786885245902
2022,Emerald,Global,16848,18,0.0010683760683760685,324,1,0.0030864197530864196
2022,European Respiratory Society,Global,394,147,0.3730964467005076,1,1,1
2022,Future Science Group,Global,1732,374,0.21593533487297922,18,17,0.9444444444444444
2022,Hogrefe,Global,968,267,0.27582644628099173,28,25,0.8928571428571429
2022,IEEE,Global,71441,3069,0.04295852521661231,198,157,0.7929292929292929
2022,IOP Publishing,Global,27279,3409,0.12496792404413652,74,57,0.7702702702702703
2022,IOS Press,Global,5422,543,0.10014754703061601,67,40,0.5970149253731343
2022,IWA Publishing,Global,93,93,1,1,1,1
2022,Inter-Research Science Publisher,Global,438,153,0.3493150684931507,4,4,1
2022,John Benjamins Publishing,Global,2185,797,0.36475972540045765,87,60,0.6896551724137931
2022,Karger,Global,4181,797,0.19062425257115523,67,65,0.9701492537313433
2022,"Mary Ann Liebert, Inc.",Global,5899,0,0,63,0,0
2022,Microbiology Society,Global,881,284,0.322360953461975,4,4,1
2022,National Academy of Sciences,Global,3941,3888,0.9865516366404465,1,1,1
2022,Optica,Global,3755,6,0.0015978695073235686,5,4,0.8
2022,Oxford University Press,Global,52521,10523,0.20035795205727233,407,372,0.914004914004914
2022,Portland Press,Global,565,359,0.6353982300884956,5,5,1
2022,Radiological Society of North America,Global,690,0,0,3,0,0
2022,Rockefeller University Press,Global,467,160,0.3426124197002141,2,2,1
2022,Royal College of General Practitioners,Global,392,140,0.35714285714285715,1,1,1
2022,Royal Irish Academy,Global,136,0,0,6,0,0
2022,Royal Society of Chemistry,Global,33289,4042,0.12142149058247469,42,42,1
2022,SPIE,Global,1565,3,0.0019169329073482429,11,3,0.2727272727272727
2022,Sage,Global,65193,11160,0.17118402282453637,993,870,0.8761329305135952
2022,Society for Neuroscience,Global,708,0,0,1,0,0
2022,Springer Nature,Global,344270,52597,0.1527783425799518,2457,2115,0.8608058608058609
2022,Taylor and Francis,Global,126787,17260,0.1361338307555191,2286,1945,0.8508311461067367
2022,The Electrochemical Society,Global,8506,520,0.06113331765812368,4,2,0.5
2022,The Geological Society of London,Global,405,81,0.2,8,7,0.875
2022,The Royal Society,Global,2125,4,0.0018823529411764706,8,1,0.125
2022,Thieme,Global,11111,370,0.03330033300333003,81,49,0.6049382716049383
2022,Trans Tech Publications,Global,3333,398,0.11941194119411941,12,6,0.5
2022,Walter de Gruyter,Global,19089,2107,0.11037770443711038,351,250,0.7122507122507122
2022,White Horse Press,Global,139,1,0.007194244604316547,3,1,0.3333333333333333
2022,Wiley,Global,204519,53405,0.26112488326267974,1383,1344,0.9718004338394793
2022,Wolters Kluwer Health,Global,60809,3010,0.04949925175549672,282,223,0.7907801418439716
2022,World Scientific,Global,9066,0,0,110,0,0
2023,AIP Publishing,Global,17564,0,0,26,0,0
2023,Akadémiai Kiadó,Global,943,500,0.5302226935312832,25,25,1
2023,American Chemical Society,Global,66272,10256,0.15475615644616128,69,67,0.9710144927536232
2023,American Meteorological Society,Global,1775,76,0.0428169014084507,11,11,1
2023,American Physical Society,Global,18188,4098,0.22531339344622828,10,9,0.9
2023,American Physiological Society,Global,1805,0,0,12,0,0
2023,American Psychological Association,Global,8658,212,0.024486024486024487,100,53,0.53
2023,Association for Computing Machinery,Global,7063,136,0.01925527396290528,94,6,0.06382978723404255
2023,BMJ Publishing,Global,7611,1365,0.17934568387859676,39,38,0.9743589743589743
2023,Bentham Science Publishers,Global,8357,513,0.061385664712217305,118,59,0.5
2023,Bioscientifica,Global,574,164,0.2857142857142857,5,5,1
2023,Brill,Global,7254,959,0.13220292252550317,306,239,0.7810457516339869
2023,Bristol University Press,Global,623,122,0.1958266452648475,17,16,0.9411764705882353
2023,CSIRO,Global,1337,0,0,18,0,0
2023,Cambridge University Press,Global,26551,9383,0.3533953523407781,354,347,0.980225988700565
2023,Canadian Science Publishing,Global,1482,324,0.21862348178137653,19,19,1
2023,Cold Spring Harbor Laboratory Press,Global,304,0,0,2,0,0
2023,Company of Biologists,Global,1321,391,0.2959878879636639,3,3,1
2023,EDP Sciences,Global,4377,3004,0.6863148275074252,21,19,0.9047619047619048
2023,Edward Elgar Publishing,Global,192,3,0.015625,12,3,0.25
2023,Elsevier,Global,596396,78566,0.13173461927980737,1952,1830,0.9375
2023,Emerald,Global,17509,0,0,326,0,0
2023,European Respiratory Society,Global,315,90,0.2857142857142857,1,1,1
2023,Future Science Group,Global,1771,325,0.18351214003387917,18,18,1
2023,Hogrefe,Global,978,291,0.29754601226993865,28,27,0.9642857142857143
2023,IEEE,Global,68880,3421,0.04966608594657375,204,165,0.8088235294117647
