cr_year,esac_publisher,agreement,lead,collection,articles,oa_articles,oa_prop,all_journals,oa_journals,journal_prop
2019,Thieme (ZB MED),Thieme,ZB MED,Germany,84,10,0.11904761904761904,5,3,0.6
2019,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Germany,10563,3791,0.35889425352646026,967,662,0.6845915201654602
2020,ACM (hebis),ACM,hebis,Germany,159,0,0,47,0,0
2020,AIP (TIB),AIP,TIB,Germany,917,0,0,25,0,0
2020,BMJ (BSB),BMJ,BSB,Germany,197,46,0.233502538071066,24,13,0.5416666666666666
2020,CUP (BSB),CUP,BSB,Germany,735,302,0.4108843537414966,203,137,0.6748768472906403
2020,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Germany,280,11,0.039285714285714285,68,10,0.14705882352941177
2020,De Gruyter (ZBW),De Gruyter,ZBW,Germany,121,12,0.09917355371900827,28,8,0.2857142857142857
2020,ECS (TIB),ECS,TIB,Germany,124,85,0.6854838709677419,2,2,1
2020,Elsevier (DEAL),Elsevier,DEAL,Germany,14869,1595,0.10727015939202367,1479,665,0.4496281271129141
2020,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Germany,363,34,0.09366391184573003,26,10,0.38461538461538464
2020,IOP (TIB),IOP,TIB,Germany,929,409,0.4402583423035522,53,44,0.8301886792452831
2020,Karger (BSB),Karger,BSB,Germany,523,96,0.1835564053537285,59,38,0.6440677966101694
2020,Nature (MPDL),Nature,MPDL,Germany,521,10,0.019193857965451054,32,6,0.1875
2020,Portland Press (TIB),Portland Press,TIB,Germany,34,18,0.5294117647058824,4,4,1
2020,RSC (TIB),RSC,TIB,Germany,1269,449,0.3538219070133964,37,35,0.9459459459459459
2020,SPIE (TIB),SPIE,TIB,Germany,32,0,0,5,0,0
2020,Sage (BSB),Sage,BSB,Germany,1493,372,0.2491627595445412,443,200,0.45146726862302483
2020,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Germany,14668,8617,0.5874693209708208,1387,1255,0.9048305695746215
2020,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Germany,588,107,0.18197278911564627,141,59,0.41843971631205673
2020,Thieme (ZB MED),Thieme,ZB MED,Germany,72,9,0.125,5,2,0.4
2020,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Germany,11572,8714,0.753024541997926,1002,906,0.9041916167664671
2021,ACM (hebis),ACM,hebis,Germany,188,0,0,47,0,0
2021,AIP (TIB),AIP,TIB,Germany,869,0,0,26,0,0
2021,BMJ (BSB),BMJ,BSB,Germany,184,87,0.47282608695652173,23,20,0.8695652173913043
2021,CUP (BSB),CUP,BSB,Germany,772,413,0.5349740932642487,210,149,0.7095238095238096
2021,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Germany,320,20,0.0625,73,16,0.2191780821917808
2021,De Gruyter (ZBW),De Gruyter,ZBW,Germany,129,17,0.13178294573643412,24,6,0.25
2021,ECS (TIB),ECS,TIB,Germany,103,79,0.7669902912621359,2,2,1
2021,Elsevier (DEAL),Elsevier,DEAL,Germany,15202,2469,0.16241284041573478,1470,845,0.5748299319727891
2021,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Germany,371,149,0.40161725067385445,26,22,0.8461538461538461
2021,IOP (TIB),IOP,TIB,Germany,830,489,0.5891566265060241,51,44,0.8627450980392157
2021,Karger (BSB),Karger,BSB,Germany,487,132,0.27104722792607805,56,38,0.6785714285714286
2021,Nature (MPDL),Nature,MPDL,Germany,587,148,0.252129471890971,34,29,0.8529411764705882
2021,Portland Press (TIB),Portland Press,TIB,Germany,48,31,0.6458333333333334,4,4,1
2021,RSC (TIB),RSC,TIB,Germany,1196,470,0.39297658862876256,37,36,0.972972972972973
2021,SPIE (TIB),SPIE,TIB,Germany,34,0,0,7,0,0
2021,Sage (BSB),Sage,BSB,Germany,1484,719,0.48450134770889486,437,309,0.7070938215102975
2021,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Germany,15950,11030,0.6915360501567398,1489,1407,0.9449294828744124
2021,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Germany,588,174,0.29591836734693877,146,75,0.5136986301369864
2021,Thieme (ZB MED),Thieme,ZB MED,Germany,69,21,0.30434782608695654,5,5,1
2021,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Germany,11845,9866,0.8329252849303503,1025,962,0.9385365853658536
2022,ACM (hebis),ACM,hebis,Germany,214,0,0,44,0,0
2022,AIP (TIB),AIP,TIB,Germany,838,0,0,26,0,0
2022,BMJ (BSB),BMJ,BSB,Germany,159,73,0.4591194968553459,23,15,0.6521739130434783
2022,CUP (BSB),CUP,BSB,Germany,724,459,0.6339779005524862,224,172,0.7678571428571429
