cr_year,esac_publisher,article_total,tdm_total,orcid_total,funder_total,abstract_total,ref_total,cat
2018,Cambridge University Press,24,1,11,1,24,24,Germany
2022,The Electrochemical Society,24,24,24,15,24,24,Germany
2022,IOS Press,28,0,0,0,27,28,Germany
2020,Brill,28,28,2,1,28,2,Germany
2019,Wiley,3630,3630,2753,2073,28,3601,Germany
2017,Wiley,497,497,329,383,28,496,Germany
2018,Oxford University Press,222,0,70,155,28,212,Germany
2020,BMJ Publishing,37,0,36,29,30,35,Germany
2018,Trans Tech Publications,30,0,3,0,30,30,Germany
2021,Company of Biologists,31,0,31,30,31,31,Germany
2021,Portland Press,32,0,31,0,32,32,Germany
2022,BMJ Publishing,39,0,39,28,33,39,Germany
2021,IOS Press,34,0,0,0,34,34,Germany
2022,EDP Sciences,39,26,35,26,35,36,Germany
2021,Brill,43,43,13,6,43,8,Germany
2017,Thieme,45,0,1,2,43,2,Germany
2017,Springer Nature,1032,1032,399,481,46,1004,Germany
2020,The Royal Society,52,52,52,44,52,52,Germany
2019,Sage,56,56,37,21,53,55,Germany
2022,Thieme,59,0,17,13,53,50,Germany
2021,The Electrochemical Society,58,58,58,41,55,58,Germany
2018,Walter de Gruyter,64,64,2,1,56,54,Germany
2020,Wiley,8681,8681,7426,5198,59,8586,Germany
2018,Springer Nature,1198,1193,615,568,64,1161,Germany
2021,Wiley,9668,9668,8028,4846,65,9550,Germany
2018,Thieme,68,0,0,0,65,0,Germany
2021,BMJ Publishing,75,0,69,42,67,75,Germany
2017,Walter de Gruyter,78,78,2,1,67,75,Germany
2020,The Electrochemical Society,73,73,59,50,72,73,Germany
2021,Sage,355,350,316,149,329,337,Germany
2019,National Academy of Sciences,86,0,74,55,78,86,Germany
2020,Karger,87,87,36,0,86,84,Germany
2019,Thieme,89,0,0,2,86,4,Germany
2020,IOP Publishing,401,401,352,277,343,394,Germany
2020,Oxford University Press,409,58,290,295,343,383,Germany
2020,Thieme,91,0,6,11,88,55,Germany
2022,National Academy of Sciences,98,0,96,61,89,98,Germany
2018,National Academy of Sciences,90,0,68,62,90,90,Germany
2021,Thieme,108,0,34,22,101,104,Germany
2020,National Academy of Sciences,120,0,114,74,104,120,Germany
2017,Royal Society of Chemistry,124,0,116,67,124,120,Germany
2021,IOP Publishing,417,417,384,287,380,416,Germany
2021,Karger,126,126,74,0,125,119,Germany
2021,National Academy of Sciences,135,0,132,78,128,135,Germany
2019,Royal Society of Chemistry,390,0,372,318,390,371,Germany
2022,Oxford University Press,168,20,151,107,135,165,Germany
2021,Springer Nature,11032,11032,7595,9588,9611,10125,Germany
2019,EDP Sciences,159,10,77,31,153,159,Germany
2022,IOP Publishing,158,158,140,106,153,156,Germany
2022,Walter de Gruyter,221,221,60,2,153,129,Germany
2019,Walter de Gruyter,182,182,11,21,155,161,Germany
2019,Cambridge University Press,159,5,96,2,157,157,Germany
2022,Sage,187,187,173,70,172,173,Germany
2019,IOP Publishing,316,247,290,204,181,315,Germany
2022,Cambridge University Press,188,11,157,62,183,183,Germany
2020,Sage,199,196,169,80,188,191,Germany
2020,Royal Society of Chemistry,444,0,429,376,444,428,Germany
2020,Walter de Gruyter,217,216,50,76,189,181,Germany
2020,Springer Nature,8751,8743,5085,6597,7615,8322,Germany
2020,Cambridge University Press,206,0,144,0,196,199,Germany
2022,Royal Society of Chemistry,196,9,189,175,196,189,Germany
2021,Oxford University Press,546,48,432,381,468,519,Germany
2021,Royal Society of Chemistry,476,5,465,409,476,464,Germany
2021,Cambridge University Press,230,39,188,64,222,224,Germany
2019,Springer Nature,1417,1411,835,678,484,1345,Germany
2020,EDP Sciences,232,60,123,47,230,231,Germany
2019,Oxford University Press,319,39,186,218,236,300,Germany
2021,Walter de Gruyter,285,282,93,6,243,234,Germany
2021,EDP Sciences,249,99,142,136,245,247,Germany
